Timestamp,ARDR,BTC,IOTA,LSK,TOTAL
1511286585,0.265552,8289.21,0.910912,9.85895,245001690505.0
1511286706,0.265552,8289.21,0.910912,9.85895,245124304813.0
1511286827,0.265552,8289.21,0.910912,9.85895,245124304813.0
1511286948,0.268093,8296.44,0.910645,9.86727,245283816480.0
1511287069,0.268093,8296.44,0.910645,9.86727,245283816480.0
1511287190,0.267922,8277.3,0.906964,9.87892,244840224024.0
1511287310,0.267922,8277.3,0.906964,9.87892,244842066658.0
1511287432,0.267922,8277.3,0.906964,9.87892,244842066658.0
1511287553,0.267336,8274.33,0.911855,9.71205,244816160565.0
1511287674,0.267336,8274.33,0.911855,9.71205,244816160565.0
1511287794,0.267641,8265.37,0.919103,9.78891,244815600299.0
1511287915,0.267641,8265.37,0.919103,9.78891,244844601823.0
1511288036,0.267641,8265.37,0.919103,9.78891,244844601823.0
1511288157,0.267955,8279.55,0.924814,9.76552,245164329609.0
1511288278,0.267955,8279.55,0.924814,9.76552,245164329609.0
1511288399,0.271226,8267.8,0.928623,9.7712,244906662488.0
1511288519,0.271226,8267.8,0.928623,9.7712,244898010274.0
1511288640,0.271226,8267.8,0.928623,9.7712,244898010274.0
1511288762,0.270889,8262.71,0.921747,9.73734,244761767301.0
1511288883,0.270889,8262.71,0.921747,9.73734,244761767301.0
1511289005,0.271731,8257.95,0.923876,9.72644,244653124268.0
1511289125,0.271731,8257.95,0.923876,9.72644,244653124268.0
1511289246,0.271731,8257.95,0.923876,9.72644,244653124268.0
1511289368,0.27122,8249.12,0.928416,9.65469,244479708884.0
1511289488,0.27122,8249.12,0.928416,9.65469,244479708884.0
1511289609,0.271045,8267.91,0.928238,9.69772,244791732179.0
1511289730,0.271045,8267.91,0.928238,9.69772,244791732179.0
1511289851,0.271045,8267.91,0.928238,9.69772,244791732179.0
1511289972,0.270445,8266.26,0.92738,9.72038,244717390262.0
1511290093,0.270445,8266.26,0.92738,9.72038,244717390262.0
1511290214,0.268705,8266.39,0.925418,9.70387,244666339657.0
1511290335,0.268705,8266.39,0.925418,9.70387,244666339657.0
1511290456,0.268705,8266.39,0.925418,9.71135,244666339657.0
1511290577,0.271728,8244.85,0.920917,9.71135,244256972116.0
1511290698,0.271728,8244.85,0.920917,9.71135,244256972116.0
1511290819,0.27092,8248.8,0.908311,9.69234,244211454908.0
1511290940,0.27092,8248.8,0.908311,9.69234,244211426145.0
1511291061,0.272356,8254.86,0.908311,9.69234,244211426145.0
1511291182,0.272356,8254.86,0.916007,9.7187,244351668668.0
1511291303,0.272356,8254.86,0.916007,9.7187,244351668668.0
1511291424,0.274352,8264.35,0.912642,9.71558,244538291077.0
1511291545,0.274352,8264.35,0.912642,9.71558,244538291077.0
1511291666,0.276936,8262.09,0.912642,9.69003,244539064964.0
1511291787,0.276936,8262.09,0.908992,9.69003,244596238658.0
1511291908,0.276936,8262.09,0.908992,9.69003,244596238658.0
1511292029,0.278956,8244.4,0.912573,9.69505,244205989259.0
1511292150,0.278956,8244.4,0.912573,9.69505,244205829841.0
1511292270,0.282159,8248.5,0.916369,9.69505,244205829841.0
1511292391,0.282159,8248.5,0.916369,9.68935,244266149229.0
1511292512,0.282159,8248.5,0.916369,9.68935,244266149229.0
1511292633,0.2833,8253.6,0.91095,9.68041,244384992324.0
1511292754,0.2833,8253.6,0.91095,9.68041,244384992324.0
1511292875,0.281999,8232.28,0.911248,9.68014,244017546708.0
1511292996,0.281999,8232.28,0.911248,9.68014,244037041325.0
1511293117,0.281999,8232.28,0.911248,9.68014,244037041325.0
1511293238,0.279913,8221.22,0.910444,9.70402,243765187150.0
1511293359,0.279913,8221.22,0.910444,9.70402,243765187150.0
1511293480,0.280822,8212.29,0.90618,9.70854,243765187150.0
1511293601,0.280822,8212.29,0.90618,9.70854,243610665784.0
1511293722,0.280822,8212.29,0.90618,9.70854,243610665784.0
1511293843,0.28069,8188.45,0.890359,9.69092,243020811480.0
1511293964,0.28069,8188.45,0.890359,9.69092,243020811480.0
1511294085,0.278956,8141.83,0.88131,9.69377,242920319218.0
1511294206,0.278956,8141.83,0.88131,9.69377,241871450059.0
1511294327,0.278956,8141.83,0.88131,9.69377,241871450059.0
1511294448,0.277342,8121.18,0.863203,9.68418,241096426822.0
1511294568,0.277342,8121.18,0.863203,9.68418,241096426822.0
1511294689,0.271631,8133.17,0.875796,9.67914,241349763958.0
1511294811,0.271631,8133.17,0.875796,9.67914,241349434297.0
1511294932,0.271631,8133.17,0.875796,9.67914,241349434297.0
1511295053,0.274513,8140.73,0.874728,9.75521,241822787189.0
1511295176,0.274513,8140.73,0.874728,9.75521,241822787189.0
1511295296,0.271714,8150.96,0.876708,9.71736,241787193703.0
1511295417,0.271714,8150.96,0.876708,9.71736,241903448431.0
1511295538,0.271714,8150.96,0.876708,9.71736,241903448431.0
1511295659,0.271829,8158.63,0.885902,9.75202,242129019413.0
1511295784,0.271829,8158.63,0.885902,9.75202,242129019413.0
1511295905,0.271792,8147.29,0.886864,9.72669,241938182276.0
1511296026,0.271792,8147.29,0.886864,9.72669,241938182276.0
1511296147,0.271792,8147.29,0.886864,9.72669,241924950093.0
1511296269,0.270923,8132.47,0.884829,9.68101,241456190100.0
1511296390,0.270923,8132.47,0.884829,9.68101,241456190100.0
1511296515,0.269457,8125.2,0.886083,9.54415,241231414209.0
1511296636,0.269457,8125.2,0.886083,9.54415,241195527064.0
1511296758,0.269889,8125.2,0.886083,9.61103,241195527064.0
1511296879,0.269889,8135.88,0.876407,9.61103,241258805593.0
1511297000,0.269889,8135.88,0.876407,9.61103,241258805593.0
1511297121,0.26839,8143.6,0.888038,9.59815,241542845852.0
1511297244,0.26839,8143.6,0.888038,9.59815,241542845852.0
1511297364,0.270365,8160.78,0.888038,9.58654,241615358942.0
1511297485,0.270365,8160.78,0.892324,9.58654,241957959067.0
1511297607,0.270365,8160.78,0.892324,9.58654,241957959067.0
1511297727,0.271255,8165.81,0.890976,9.64341,242122002782.0
1511297848,0.271255,8165.81,0.890976,9.64341,242166148474.0
1511297969,0.271814,8162.15,0.890782,9.51698,242166148474.0
1511298091,0.271814,8162.15,0.890782,9.51698,242096768214.0
1511298212,0.271814,8162.15,0.890782,9.51698,242096768214.0
1511298332,0.271361,8191.18,0.893522,9.52929,242684260729.0
1511298453,0.271361,8191.18,0.893522,9.52929,242684260729.0
1511298574,0.272629,8191.11,0.905136,9.61187,242835146690.0
1511298695,0.272629,8191.11,0.905136,9.61187,242885506920.0
1511298816,0.272629,8191.11,0.905136,9.61187,242885506920.0
1511298937,0.27283,8200.35,0.909307,9.632,243201940751.0
1511299058,0.27283,8200.35,0.909307,9.632,243201956404.0
1511299179,0.273612,8194.59,0.910531,9.68278,243201956404.0
1511299302,0.273612,8194.59,0.910531,9.68278,243192595779.0
1511299422,0.273612,8194.59,0.910531,9.68278,243192595779.0
1511299543,0.27316,8202.48,0.909789,9.61826,243303445563.0
1511299664,0.27316,8202.48,0.909789,9.61826,243303445563.0
1511299790,0.273534,8201.21,0.910189,9.65171,243272529282.0
1511299911,0.273534,8201.21,0.910189,9.65171,243267984197.0
1511300032,0.273534,8201.21,0.910189,9.65171,243267984197.0
1511300153,0.274828,8168.89,0.890467,9.66335,242641352780.0
1511300274,0.274828,8168.89,0.890467,9.66335,242641352780.0
1511300394,0.271664,8162.67,0.899242,9.66274,242304325832.0
1511300515,0.271664,8162.67,0.899242,9.66274,242304325832.0
1511300636,0.271664,8162.67,0.899242,9.66274,242304325832.0
1511300757,0.271275,8137.57,0.89938,9.67609,241984027819.0
1511300878,0.271275,8137.57,0.89938,9.67609,241984027819.0
